date,total_confirmed
2020-12-23,51154.0
2020-12-24,51007.0
2020-12-25,50173.0
2020-12-26,50529.0
2020-12-27,53812.0
2020-12-28,56064.0
2020-12-29,58631.0
2020-12-30,60192.0
2020-12-31,61204.0
2021-01-01,61391.0
2021-01-02,61742.0
2021-01-03,63753.0
2021-01-04,66910.0
2021-01-05,71379.0
2021-01-06,73255.0
2021-01-07,76416.0
2021-01-08,79903.0
2021-01-09,82721.0
2021-01-10,83256.0
2021-01-11,89967.0
2021-01-12,94665.0
2021-01-13,95212.0
2021-01-14,96249.0
2021-01-15,97475.0
2021-01-16,96483.0
2021-01-17,95902.0
2021-01-18,101187.0
2021-01-19,100979.0
2021-01-20,96238.0
2021-01-21,95854.0
2021-01-22,94473.0
2021-01-23,90179.0
2021-01-24,86451.0
2021-01-25,87344.0
2021-01-26,87375.0
2021-01-27,83217.0
2021-01-28,80236.0
2021-01-29,77112.0
2021-01-30,72945.0
2021-01-31,69209.0
2021-02-01,69208.0
2021-02-02,68120.0
2021-02-03,64468.0
2021-02-04,61198.0
2021-02-05,58273.0
2021-02-06,53353.0
2021-02-07,49253.0
2021-02-08,51608.0
2021-02-09,49080.0
2021-02-10,46881.0
2021-02-11,45117.0
2021-02-12,43124.0
2021-02-13,38712.0
2021-02-14,36037.0
2021-02-15,38495.0
2021-02-16,37037.0
2021-02-17,37121.0
2021-02-18,35721.0
2021-02-19,35361.0
2021-02-20,32062.0
2021-02-21,29955.0
2021-02-22,34022.0
2021-02-23,34187.0
2021-02-24,32667.0
2021-02-25,31878.0
2021-02-26,30940.0
2021-02-27,27628.0
2021-02-28,26127.0
2021-03-01,30299.0
2021-03-02,30145.0
2021-03-03,29822.0
2021-03-04,29141.0
2021-03-05,29002.0
2021-03-06,25505.0
2021-03-07,23960.0
2021-03-08,30271.0
2021-03-09,29675.0
2021-03-10,29669.0
2021-03-11,29242.0
2021-03-12,29847.0
2021-03-13,26309.0
2021-03-14,24807.0
2021-03-15,32193.0
2021-03-16,31791.0
2021-03-17,31216.0
2021-03-18,31533.0
2021-03-19,30974.0
2021-03-20,27977.0
2021-03-21,26302.0
2021-03-22,33833.0
2021-03-23,32977.0
2021-03-24,34046.0
2021-03-25,34328.0
2021-03-26,34772.0
2021-03-27,31082.0
2021-03-28,30166.0
2021-03-29,37594.0
2021-03-30,38715.0
2021-03-31,38063.0
2021-04-01,38359.0
2021-04-02,36677.0
2021-04-03,37509.0
2021-04-04,36509.0
2021-04-05,43944.0
2021-04-06,45293.0
2021-04-07,46674.0
2021-04-08,46758.0
2021-04-09,47591.0
2021-04-10,45028.0
2021-04-11,44574.0
2021-04-12,50564.0
2021-04-13,51428.0
2021-04-14,52716.0
2021-04-15,54723.0
2021-04-16,56526.0
2021-04-17,54784.0
2021-04-18,55207.0
2021-04-19,61197.0
2021-04-20,62178.0
2021-04-21,60890.0
2021-04-22,65354.0
2021-04-23,66862.0
2021-04-24,65613.0
2021-04-25,64967.0
2021-04-26,71486.0
2021-04-27,70487.0
2021-04-28,71883.0
2021-04-29,73113.0
2021-04-30,73834.0
2021-05-01,71186.0
2021-05-02,72345.0
2021-05-03,78366.0
2021-05-04,78232.0
2021-05-05,77873.0
2021-05-06,76992.0
2021-05-07,77973.0
2021-05-08,76876.0
2021-05-09,77250.0
2021-05-10,84263.0
2021-05-11,84691.0
2021-05-12,84849.0
2021-05-13,88584.0
2021-05-14,87095.0
2021-05-15,86452.0
2021-05-16,83192.0
2021-05-17,94676.0
2021-05-18,83416.0
2021-05-19,80570.0
2021-05-20,81849.0
2021-05-21,80962.0
2021-05-22,76246.0
2021-05-23,75641.0
2021-05-24,78000.0
2021-05-25,76110.0
2021-05-26,73972.0
2021-05-27,78540.0
2021-05-28,70000.0
2021-05-29,66601.0
2021-05-30,65396.0
2021-05-31,66977.0
2021-06-01,62326.0
2021-06-02,61424.0
2021-06-03,56956.0
2021-06-04,56693.0
2021-06-05,52500.0
2021-06-06,50640.0
2021-06-07,53640.0
2021-06-08,51105.0
2021-06-09,48258.0
2021-06-10,46992.0
2021-06-11,44445.0
2021-06-12,40393.0
2021-06-13,38925.0
2021-06-14,41499.0
2021-06-15,38092.0
2021-06-16,36014.0
2021-06-17,34479.0
2021-06-18,32217.0
2021-06-19,28480.0
2021-06-20,27394.0
2021-06-21,30739.0
