date,total_confirmed
2021-12-21,1112485.0
2020-08-06,258316.0
2020-08-21,309585.0
2020-09-14,281920.0
2020-10-27,581202.0
2021-01-11,708854.0
2021-04-16,860161.0
2021-07-27,782528.0
2022-02-24,1818945.0
2020-08-25,298422.0
2020-09-24,397264.0
2021-02-11,431469.0
2021-07-19,677856.0
2020-11-01,499674.0
2021-04-17,805195.0
2021-12-04,600267.0
2021-02-16,386377.0
2021-06-29,433243.0
2021-06-09,385414.0
2020-04-06,92976.0
2020-11-03,654899.0
2021-01-07,808039.0
2021-12-29,2180113.0
2020-05-03,78277.0
2021-01-30,412596.0
2021-04-10,687810.0
2021-12-01,999268.0
2020-10-24,512718.0
2021-03-26,553526.0
2021-02-19,418052.0
2021-09-01,959694.0
2022-01-09,2400399.0
2022-03-07,2004154.0
2020-03-28,84940.0
2021-09-18,637177.0
2022-02-05,2615469.0
2022-02-21,2716651.0
2021-08-14,714211.0
2021-08-10,710873.0
2021-11-15,651786.0
2020-05-04,85686.0
2021-07-21,562467.0
2020-05-15,91950.0
2020-07-14,267775.0
2021-03-20,516191.0
2021-06-06,284969.0
2020-07-03,243051.0
2020-08-02,240237.0
2022-01-06,2998560.0
2020-09-23,334589.0
2020-10-13,387916.0
2022-01-27,4298678.0
2022-02-13,1717717.0
2020-08-07,321978.0
2020-11-20,796218.0
2021-05-30,347662.0
2020-10-02,407834.0
2020-09-08,302319.0
2020-09-28,293505.0
2020-07-29,346562.0
2021-09-21,578720.0
2021-10-22,567197.0
2020-06-30,160738.0
2020-07-24,316810.0
2020-08-27,305373.0
2020-09-15,334427.0
2021-01-19,709338.0
2021-09-26,517725.0
2021-11-07,476378.0
2020-09-30,398915.0
2021-06-28,377444.0
2021-05-11,817772.0
2020-12-20,566471.0
2020-12-26,489427.0
2020-12-27,509562.0
2020-11-26,630297.0
2020-05-29,102209.0
2020-12-15,812942.0
2020-08-14,325255.0
2020-09-21,278570.0
2021-11-03,666631.0
2021-08-20,788608.0
2021-06-15,380174.0
2020-04-07,113915.0
2020-11-11,750514.0
