date,total_confirmed
2021-06-10,329322.0
2021-06-11,314965.0
2021-06-12,280246.0
2021-06-13,239339.0
2021-06-14,282134.0
2021-06-15,318335.0
2021-06-16,307661.0
2021-06-17,307333.0
2021-06-18,291710.0
2021-06-19,267012.0
2021-06-20,235764.0
2021-06-21,285325.0
2021-06-22,318227.0
2021-06-23,325762.0
2021-06-24,327782.0
2021-06-25,323863.0
2021-06-26,297294.0
2021-06-27,261545.0
2021-06-28,331469.0
2021-06-29,356233.0
2021-06-30,363423.0
2021-07-01,364936.0
2021-07-02,357829.0
2021-07-03,328352.0
2021-07-04,296858.0
2021-07-05,365457.0
2021-07-06,410880.0
2021-07-07,431603.0
2021-07-08,433247.0
2021-07-09,419530.0
2021-07-10,384202.0
2021-07-11,357671.0
2021-07-12,454876.0
2021-07-13,490598.0
2021-07-14,524331.0
2021-07-15,516002.0
2021-07-16,507265.0
2021-07-17,450222.0
2021-07-18,402409.0
2021-07-19,485232.0
2021-07-20,489112.0
2021-07-21,502402.0
2021-07-22,534634.0
2021-07-23,633429.0
2021-07-24,512274.0
2021-07-25,449839.0
2021-07-26,555949.0
2021-07-27,648311.0
2021-07-28,673124.0
2021-07-29,640871.0
2021-07-30,636494.0
2021-07-31,558856.0
2021-08-01,498870.0
2021-08-02,590963.0
2021-08-03,661306.0
2021-08-04,710776.0
2021-08-05,686105.0
2021-08-06,666107.0
2021-08-07,614690.0
2021-08-08,531849.0
2021-08-09,579502.0
2021-08-10,689069.0
2021-08-11,711501.0
2021-08-12,714989.0
2021-08-13,681941.0
2021-08-14,608775.0
2021-08-15,540495.0
2021-08-16,608744.0
2021-08-17,709081.0
2021-08-18,754751.0
2021-08-19,707698.0
2021-08-20,676656.0
2021-08-21,597218.0
2021-08-22,544047.0
2021-08-23,610341.0
2021-08-24,716094.0
2021-08-25,729530.0
2021-08-26,726999.0
2021-08-27,673216.0
2021-08-28,586014.0
2021-08-29,504055.0
2021-08-30,558961.0
2021-08-31,660950.0
2021-09-01,697120.0
2021-09-02,668992.0
2021-09-03,622956.0
2021-09-04,543728.0
2021-09-05,507105.0
2021-09-06,528334.0
2021-09-07,578124.0
2021-09-08,597367.0
2021-09-09,621175.0
2021-09-10,560428.0
2021-09-11,511022.0
2021-09-12,462642.0
2021-09-13,489598.0
2021-09-14,557041.0
2021-09-15,557621.0
2021-09-16,578483.0
2021-09-17,525150.0
2021-09-18,596331.0
2021-09-19,426707.0
2021-09-20,447433.0
2021-09-21,530250.0
2021-09-22,531413.0
